Sample,X,Y,Theta
0,0.0,0.0,0.0
1,1.8,0.02,0.03
2,3.45,0.06,0.04
3,5.69,0.16,0.05
4,8.69,0.31,0.05
5,12.28,0.51,0.06
6,15.42,0.71,0.06
7,18.57,0.93,0.07
8,23.2,1.27,0.08
9,27.84,1.61,0.07
10,32.18,1.89,0.06
11,35.77,2.12,0.07
12,39.5,2.39,0.07
13,43.69,2.68,0.07
14,48.18,2.97,0.06
15,52.52,3.24,0.06
16,56.26,3.49,0.07
17,60.0,3.77,0.08
18,63.44,4.03,0.08
19,67.17,4.34,0.08
20,70.46,4.62,0.08
21,74.94,4.99,0.08
22,79.27,5.37,0.09
23,82.86,5.73,0.11
24,87.62,6.26,0.11
25,92.24,6.82,0.12
26,96.26,7.31,0.11
27,100.13,7.75,0.11
28,104.75,8.22,0.1
29,109.08,8.65,0.1
30,112.21,8.96,0.1
31,116.25,9.32,0.08
32,120.58,9.67,0.08
33,125.21,10.06,0.09
34,129.39,10.44,0.09
35,133.57,10.83,0.09
36,138.35,11.26,0.09
37,142.68,11.64,0.09
38,146.56,12.0,0.1
39,150.44,12.38,0.1
40,154.47,12.74,0.09
41,158.96,13.11,0.08
42,162.99,13.44,0.08
43,166.87,13.81,0.1
44,170.75,14.23,0.12
45,173.87,14.6,0.12
46,177.6,15.05,0.12
47,182.21,15.63,0.12
48,186.67,16.17,0.12
49,191.73,16.77,0.12
50,195.9,17.27,0.12
51,199.62,17.74,0.14
52,204.22,18.43,0.16
53,208.21,19.1,0.17
54,211.76,19.71,0.17
55,215.3,20.34,0.18
56,218.84,20.98,0.18
57,222.23,21.62,0.19
58,226.36,22.39,0.19
59,231.36,23.35,0.19
60,235.77,24.24,0.2
61,239.74,25.03,0.18
62,243.88,25.74,0.16
63,248.62,26.51,0.16
64,253.63,27.4,0.19
65,258.49,28.36,0.19
66,263.2,29.26,0.19
67,268.51,30.25,0.19
68,273.37,31.18,0.19
69,278.07,32.12,0.2
70,282.91,33.16,0.21
71,287.16,34.09,0.22
72,291.99,35.13,0.21
73,296.39,36.1,0.22
74,300.77,37.1,0.23
75,305.3,38.13,0.22
76,309.83,39.17,0.23
77,313.92,40.12,0.23
78,318.16,41.11,0.23
79,323.27,42.29,0.23
80,328.68,43.52,0.22
81,332.62,44.43,0.23
82,336.42,45.32,0.23
83,340.94,46.4,0.23
84,345.62,47.47,0.22
85,351.04,48.62,0.2
86,356.34,49.65,0.19
87,361.64,50.7,0.19
88,367.09,51.72,0.18
89,372.25,52.67,0.19
90,376.97,53.55,0.18
91,381.54,54.36,0.17
92,385.83,55.12,0.18
93,390.25,55.96,0.19
94,394.81,56.82,0.18
95,399.67,57.74,0.19
96,404.54,58.65,0.18
97,410.59,59.74,0.17
98,415.46,60.62,0.19
99,420.17,61.54,0.2
