Sample,X,Y,Theta
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.15,0.0,0.0
7,0.15,0.0,0.0
8,0.15,0.0,0.0
9,0.15,0.0,0.0
10,0.45,0.0,-0.0
11,1.2,0.0,0.01
12,1.95,0.01,0.01
13,3.3,0.02,0.01
14,5.55,0.05,0.02
15,9.74,0.16,0.03
16,16.49,0.36,0.03
17,25.48,0.69,0.04
18,35.52,1.08,0.04
19,46.6,1.46,0.03
20,59.04,1.85,0.03
21,72.23,2.29,0.03
22,86.17,2.6,0.01
23,100.56,2.71,0.01
24,116.01,2.83,0.01
25,131.75,2.83,-0.01
26,147.79,2.64,-0.01
27,164.28,2.38,-0.02
28,180.92,1.99,-0.03
29,197.55,1.4,-0.03
30,214.78,0.7,-0.04
31,232.01,-0.03,-0.05
32,249.68,-0.9,-0.05
33,268.09,-1.97,-0.06
34,286.34,-3.14,-0.06
35,305.19,-4.36,-0.06
36,323.45,-5.51,-0.06
37,341.84,-6.82,-0.08
38,360.38,-8.3,-0.07
39,379.38,-9.51,-0.06
40,398.68,-10.68,-0.06
41,418.14,-11.77,-0.05
42,437.92,-12.59,-0.03
43,458.0,-13.28,-0.04
44,478.37,-14.09,-0.04
45,498.3,-14.84,-0.04
46,518.97,-15.6,-0.04
47,539.8,-16.26,-0.03
48,560.64,-16.72,-0.02
49,581.63,-17.13,-0.02
50,603.06,-17.46,-0.01
51,623.9,-17.65,-0.0
52,644.59,-17.72,0.0
53,665.13,-17.58,0.01
54,685.37,-17.42,0.01
55,706.65,-17.18,0.01
56,727.94,-16.83,0.02
57,749.07,-16.17,0.04
58,770.03,-15.04,0.07
59,791.1,-13.35,0.09
60,811.99,-11.23,0.11
61,833.13,-8.7,0.12
62,853.94,-5.98,0.14
63,873.97,-3.09,0.15
64,895.16,0.2,0.16
65,916.27,3.96,0.19
66,938.07,8.11,0.19
67,960.37,12.78,0.22
68,982.41,17.97,0.24
69,1004.61,23.73,0.27
70,1027.97,30.39,0.29
71,1051.37,37.44,0.3
72,1075.29,44.84,0.3
73,1098.7,52.34,0.33
74,1122.18,60.6,0.35
75,1146.57,69.45,0.34
76,1171.02,78.09,0.34
77,1194.5,86.35,0.34
78,1217.81,94.62,0.34
79,1241.37,103.12,0.35
80,1264.8,111.52,0.35
81,1287.51,119.7,0.35
82,1310.61,128.11,0.35
83,1331.9,135.83,0.35
84,1354.2,143.83,0.34
85,1375.69,151.43,0.33
86,1397.57,158.81,0.32
87,1419.66,166.02,0.31
88,1442.14,173.0,0.29
89,1464.67,179.81,0.29
90,1486.84,186.25,0.28
91,1509.36,192.6,0.27
92,1532.36,198.87,0.26
93,1555.31,204.74,0.24
94,1578.07,210.12,0.23
95,1601.21,215.19,0.21
96,1624.15,219.78,0.19
97,1647.62,223.97,0.17
98,1670.86,227.71,0.15
99,1694.6,231.1,0.13
