Sample,X,Y,Theta
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.15,0.0,0.0
7,0.75,-0.0,-0.01
8,1.95,-0.01,0.0
9,4.65,0.02,0.02
10,8.99,0.12,0.03
11,15.14,0.24,0.02
12,22.79,0.42,0.03
13,31.18,0.66,0.03
14,40.77,0.87,0.02
15,51.71,1.1,0.02
16,62.81,1.23,0.01
17,74.95,1.32,0.01
18,87.4,1.38,0.0
19,100.29,1.36,-0.0
20,114.38,1.42,0.0
21,128.78,1.48,0.0
22,143.92,1.55,-0.0
23,159.21,1.54,-0.0
24,175.11,1.59,0.01
25,191.6,1.67,0.01
26,208.39,1.97,0.03
27,224.87,2.51,0.04
28,242.55,3.2,0.03
29,259.63,3.78,0.04
30,277.46,4.55,0.04
31,295.74,5.21,0.03
32,313.72,5.73,0.04
33,333.05,6.49,0.04
34,352.07,7.34,0.05
35,371.24,8.33,0.06
36,390.4,9.46,0.06
37,410.59,10.78,0.07
38,429.74,12.03,0.07
39,449.04,13.35,0.07
40,468.34,14.64,0.07
41,488.09,15.96,0.07
42,507.69,17.16,0.06
43,526.85,18.29,0.06
44,546.45,19.53,0.06
45,566.06,20.71,0.06
46,586.1,22.05,0.07
47,606.44,23.5,0.07
48,625.73,24.91,0.07
49,645.61,26.52,0.08
