Sample,X,Y,Theta
0,0.0,0.0,0.0
1,4.8,0.02,0.01
2,12.74,0.03,-0.0
3,22.94,-0.02,-0.0
4,32.68,-0.11,-0.01
5,42.58,-0.22,-0.01
6,52.18,-0.28,-0.01
7,61.62,-0.43,-0.02
8,71.51,-0.64,-0.02
9,81.41,-0.84,-0.02
10,91.3,-0.95,-0.01
11,101.65,-0.99,0.0
12,111.54,-0.94,0.01
13,121.29,-0.89,0.0
14,131.18,-0.82,0.01
15,141.23,-0.65,0.02
16,150.67,-0.42,0.03
17,161.16,-0.08,0.04
18,171.2,0.33,0.04
19,181.08,0.75,0.05
20,190.96,1.32,0.07
21,201.13,2.06,0.08
22,210.84,2.85,0.08
23,219.65,3.66,0.1
24,229.2,4.68,0.11
25,239.03,5.8,0.11
26,248.71,6.93,0.12
27,257.79,8.02,0.13
28,266.84,9.29,0.15
29,275.74,10.65,0.16
30,285.37,12.13,0.15
31,295.15,13.62,0.15
32,305.07,15.2,0.16
33,315.57,16.98,0.17
34,325.6,18.77,0.19
35,335.47,20.68,0.2
36,345.01,22.64,0.21
37,354.09,24.64,0.23
38,363.73,26.88,0.23
39,373.38,29.08,0.23
40,383.15,31.4,0.24
41,392.9,33.83,0.25
42,402.92,36.38,0.25
43,413.23,39.04,0.25
44,422.66,41.48,0.26
45,431.78,43.96,0.27
46,441.3,46.67,0.28
47,451.1,49.47,0.28
48,460.04,52.03,0.27
49,469.27,54.64,0.28
